A1,Genetic Apex,1,Bulbasaur,♢,Grass,Mewtwo,5.88%,35,Psychic,"Aug. 5, 2025",Genetic Apex,Charizard,Fire,1,,P-A,Promo-A,1,Potion,Item,Bought from in-game shop (2 tickets),,Genetic Apex,First Choice,1,Multi-Card,1,Any Bulbasaur,,Genetic Apex,First Choice,1,Multi-Card,1,Bulbasaur,Mewtwo,Psychic,,Genetic Apex,First Choice,,Genetic Apex,,Genetic Apex,Charizard,Fire
A1,Genetic Apex,2,Ivysaur,♢♢,Grass,Mewtwo,4.24%,70,Psychic,,Genetic Apex,Charizard,Fire,2+,,P-A,Promo-A,2,X Speed,Item,Bought from in-game shop (2 tickets),,Genetic Apex,First Choice,2,Multi-Card,1,Any Charmander,,Genetic Apex,First Choice,1,Multi-Card,227,Bulbasaur,Mewtwo,Psychic,,Genetic Apex,Electabuzz and Magmar,,Mythical Island,,Genetic Apex,Pikachu,Lightning
A1,Genetic Apex,3,Venusaur,♢♢♢,Grass,Mewtwo,1.78%,150,Psychic,,Genetic Apex,Mewtwo,Psychic,1,,P-A,Promo-A,3,Hand Scope,Item,Bought from in-game shop (2 tickets),,Genetic Apex,First Choice,3,Multi-Card,1,Any Squirtle,,Genetic Apex,First Choice,2,Multi-Card,33,Charmander,Charizard,Fire,,Genetic Apex,Viridian Forest,,Space-Time Smackdown,,Genetic Apex,Mewtwo,Psychic
A1,Genetic Apex,4,Venusaur ex,♢♢♢♢,Grass,Mewtwo,1.66%,500,Psychic,,Genetic Apex,Mewtwo,Psychic,2+,,P-A,Promo-A,4,Pokédex,Item,Bought from in-game shop (2 tickets),,Genetic Apex,Electabuzz and Magmar,1,Single-Card,1,Electabuzz,,Genetic Apex,First Choice,2,Multi-Card,230,Charmander,Charizard,Fire,,Genetic Apex,Pidgey Squad,,Triumphant Light,,Mythical Island,Mew,Psychic
A1,Genetic Apex,5,Caterpie,♢,Grass,Pikachu,5.88%,35,Lightning,,Genetic Apex,Pikachu,Lightning,1,,P-A,Promo-A,5,Poké Ball,Item,Bought from in-game shop (2 tickets),,Genetic Apex,Electabuzz and Magmar,2,Single-Card,1,Magmar,,Genetic Apex,First Choice,3,Multi-Card,53,Squirtle,Pikachu,Lightning,,Genetic Apex,A Day with Family,,Shining Revelry,,Space-Time Smackdown,Dialga,Water
A1,Genetic Apex,6,Metapod,♢,Grass,Pikachu,5.88%,35,Lightning,,Genetic Apex,Pikachu,Lightning,2+,,P-A,Promo-A,6,Red Card,Item,Bought from in-game shop (2 tickets),,Genetic Apex,Viridian Forest,1,Single-Card,1,Caterpie,,Genetic Apex,First Choice,3,Multi-Card,232,Squirtle,Pikachu,Lightning,,Genetic Apex,Pokémon of Ancient Times,,Celestial Guardians,,Space-Time Smackdown,Palkia,Fairy
A1,Genetic Apex,7,Butterfree,♢♢♢,Grass,Pikachu,1.78%,150,Lightning,,Genetic Apex,All,All,1,,P-A,Promo-A,7,Professor's Research,Supporter,Bought from in-game shop (2 tickets),,Genetic Apex,Viridian Forest,2,Single-Card,1,Metapod,,Genetic Apex,Electabuzz and Magmar,1,Single-Card,101,Electabuzz,Pikachu,Lightning,,Genetic Apex,The Legendary Flight,,Extradimensional Crisis,,Triumphant Light,Arceus,Dragon
A1,Genetic Apex,8,Weedle,♢,Grass,Mewtwo,5.88%,35,Psychic,,Genetic Apex,All,All,2+,,P-A,Promo-A,8,Pokédex,Item,Community Reward,,Genetic Apex,Viridian Forest,3,Single-Card,1,Weedle,,Genetic Apex,Electabuzz and Magmar,2,Single-Card,44,Magmar,Charizard,Fire,,Genetic Apex,Triple Power,,Eevee Grove,,Shining Revelry,Shiny,Colorless
A1,Genetic Apex,9,Kakuna,♢,Grass,Mewtwo,5.88%,35,Psychic,,Mythical Island,Mew,Psychic,1,,P-A,Promo-A,9,Pikachu,Lightning,November '24 Premium,,Genetic Apex,Viridian Forest,4,Single-Card,1,Kakuna,,Genetic Apex,Viridian Forest,1,Single-Card,5,Caterpie,Pikachu,Lightning,,Genetic Apex,A Big Snorlax Nuisance,,Wisdom of Sea and Sky,,Celestial Guardians,Solgaleo,Fighting
A1,Genetic Apex,10,Beedrill,♢♢♢,Grass,Mewtwo,1.78%,150,Psychic,,Mythical Island,Mew,Psychic,2+,,P-A,Promo-A,10,Mewtwo,Psychic,December '24 Premium,,Genetic Apex,Viridian Forest,5,Multi-Card,1,Any Pikachu,,Genetic Apex,Viridian Forest,2,Single-Card,6,Metapod,Pikachu,Lightning,,Genetic Apex,Touring the Kanto Region,,,,Celestial Guardians,Lunala,Psychic
